"Word","List","Case","Type","Response","Response_Type","Response.Noam","phoneme1","phoneme2","phoneme3","phoneme4","phoneme5","phoneme6","response_clean_old","response_clean_new"
"zull","p20","p20","E","z_z_ u_V_ ll_5_","GP_RESPONSE","z_z_ u_V_ ll_5_","z","V","5","","","","zV5","zV5"
"zull","p20","p20","E","z_z_ u_U_ ll_5_","ALT_RESPONSE","z_z_ u_U_ ll_5_","z","U","5","","","","zU5","zU5"
"vut","p20","p20","E","v_v_ u_V_ t_t_","GP_RESPONSE","v_v_ u_V_ t_t_","v","V","t","","","","vVt","vVt"
"vut","p20","p20","E","v_v_ u_U_ t_t_","ALT_RESPONSE","v_v_ u_U_ t_t_","v","U","t","","","","vUt","vUt"
"jint","p20","p20","E","j_dZ_ i_I_ n_n_ t_t_","GP_RESPONSE","j_dZ_ i_I_ n_n_ t_t_","dZ","I","n","t","","","dZInt","JInt"
"jint","p20","p20","E","j_dZ_ i_aI_ n_n_ t_t_","ALT_RESPONSE","j_dZ_ i_aI_ n_n_ t_t_","dZ","aI","n","t","","","dZaInt","J9nt"
"zeat","p20","p20","E","z_z_ ea_i_ t_t_","GP_RESPONSE","z_z_ ea_i_ t_t_","z","i","t","","","","zit","zit"
"zeat","p20","p20","E","z_z_ ea_E_ t_t_","ALT_RESPONSE","z_z_ ea_E_ t_t_","z","E","t","","","","zEt","zEt"
"zint","p20","p20","E","z_z_ i_I_ n_n_ t_t_","GP_RESPONSE","z_z_ i_I_ n_n_ t_t_","z","I","n","t","","","zInt","zInt"
"zint","p20","p20","E","z_z_ i_aI_ n_n_ t_t_","ALT_RESPONSE","z_z_ i_aI_ n_n_ t_t_","z","aI","n","t","","","zaInt","z9nt"
"fow","p20","p20","E","f_f_ ow_aU_","GP_RESPONSE","f_f_ ow_aU_","f","aU","","","","","faU","f7"
"fow","p20","p20","E","f_f_ ow_ou_","ALT_RESPONSE","f_f_ ow_ou_","f","ou","","","","","fou","f8"
"vone","p20","p20","E","v_v_ o~e_ou_ n_n_","GP_RESPONSE","v_v_ o~e_ou_ n_n_","v","ou","n","","","","voun","v8n"
"vone","p20","p20","E","v_v_ o~e_V_ n_n_","ALT_RESPONSE","v_v_ o~e_V_ n_n_","v","V","n","","","","vVn","vVn"
"nind","p20","p20","E","n_n_ i_I_ n_n_ d_d_","GP_RESPONSE","n_n_ i_I_ n_n_ d_d_","n","I","n","d","","","nInd","nInd"
"nind","p20","p20","E","n_n_ i_aI_ n_n_ d_d_","ALT_RESPONSE","n_n_ i_aI_ n_n_ d_d_","n","aI","n","d","","","naInd","n9nd"
"jook","p20","p20","E","j_dZ_ oo_u_ k_k_","GP_RESPONSE","j_dZ_ oo_u_ k_k_","dZ","u","k","","","","dZuk","Juk"
"jook","p20","p20","E","j_dZ_ oo_U_ k_k_","ALT_RESPONSE","j_dZ_ oo_U_ k_k_","dZ","U","k","","","","dZUk","JUk"
"plone","p20","p20","E","p_p_ l_l_ o~e_ou_ n_n_","GP_RESPONSE","p_p_ l_l_ o~e_ou_ n_n_","p","l","ou","n","","","ploun","pl8n"
"plone","p20","p20","E","p_p_ l_l_ o~e_V_ n_n_","ALT_RESPONSE","p_p_ l_l_ o~e_V_ n_n_","p","l","V","n","","","plVn","plVn"
"dut","p20","p20","E","d_d_ u_V_ t_t_","GP_RESPONSE","d_d_ u_V_ t_t_","d","V","t","","","","dVt","dVt"
"dut","p20","p20","E","d_d_ u_U_ t_t_","ALT_RESPONSE","d_d_ u_U_ t_t_","d","U","t","","","","dUt","dUt"
"voot","p20","p20","E","v_v_ oo_u_ t_t_","GP_RESPONSE","v_v_ oo_u_ t_t_","v","u","t","","","","vut","vut"
"voot","p20","p20","E","v_v_ oo_U_ t_t_","ALT_RESPONSE","v_v_ oo_U_ t_t_","v","U","t","","","","vUt","vUt"
"jead","p20","p20","E","j_dZ_ ea_i_ d_d_","GP_RESPONSE","j_dZ_ ea_i_ d_d_","dZ","i","d","","","","dZid","Jid"
"jead","p20","p20","E","j_dZ_ ea_E_ d_d_","ALT_RESPONSE","j_dZ_ ea_E_ d_d_","dZ","E","d","","","","dZEd","JEd"
